# wavenumber,reflectivity
6.831593000000000302e+02,3.734747970000000095e+01
6.836414999999999509e+02,3.746285886999999803e+01
6.841235000000000355e+02,3.761136295000000018e+01
6.846056999999999562e+02,3.769380960000000158e+01
6.850878000000000156e+02,3.782392722000000163e+01
6.855698999999999614e+02,3.790889921000000129e+01
6.860520000000000209e+02,3.801720540000000170e+01
6.865342000000000553e+02,3.812069969000000214e+01
6.870162000000000262e+02,3.820500897000000151e+01
6.874983999999999469e+02,3.830358582000000212e+01
6.879805000000000064e+02,3.837391362999999700e+01
6.884625999999999522e+02,3.848593277999999884e+01
6.889447000000000116e+02,3.858193849999999969e+01
6.894269000000000460e+02,3.866528713000000295e+01
6.899089000000000169e+02,3.877718068000000073e+01
6.903911000000000513e+02,3.888318049000000087e+01
6.908731999999999971e+02,3.898482000999999997e+01
6.913553000000000566e+02,3.908408603000000170e+01
6.918374000000000024e+02,3.918845152000000098e+01
6.923196000000000367e+02,3.929181936999999891e+01
6.928016000000000076e+02,3.937224582000000339e+01
6.932838000000000420e+02,3.948697748000000018e+01
6.937658999999999878e+02,3.958323603000000190e+01
6.942480000000000473e+02,3.965160290000000032e+01
6.947300999999999931e+02,3.969577375000000075e+01
6.952123000000000275e+02,3.975612837999999982e+01
6.956942999999999984e+02,3.980933106999999893e+01
6.961765000000000327e+02,3.984757340000000170e+01
6.966585999999999785e+02,3.991169602000000083e+01
6.971407000000000380e+02,3.994415879999999675e+01
6.976227999999999838e+02,3.996080551000000014e+01
6.981050000000000182e+02,4.000045181000000127e+01
6.985869999999999891e+02,4.002509690000000120e+01
6.990692000000000235e+02,4.003801358999999849e+01
6.995512999999999693e+02,4.008230200999999937e+01
7.000334000000000287e+02,4.009472971000000285e+01
7.005154999999999745e+02,4.009705003999999917e+01
7.009977000000000089e+02,4.013135692000000176e+01
7.014796999999999798e+02,4.014753965999999963e+01
7.019619000000000142e+02,4.014029759999999669e+01
7.024439999999999600e+02,4.015138842000000352e+01
7.029261000000000195e+02,4.016405849000000217e+01
7.034081999999999653e+02,4.014739524000000159e+01
7.038903999999999996e+02,4.017062229999999801e+01
7.043723999999999705e+02,4.015554874000000041e+01
7.048546000000000049e+02,4.016057803999999720e+01
7.053366999999999507e+02,4.012479014000000177e+01
7.058188000000000102e+02,4.011096440000000030e+01
7.063008999999999560e+02,4.008060293999999857e+01
7.067830999999999904e+02,4.007437514000000078e+01
7.072650999999999613e+02,4.009432836999999950e+01
7.077472999999999956e+02,4.006955788999999868e+01
7.082294000000000551e+02,4.006031895999999648e+01
7.087115000000000009e+02,4.006255241000000211e+01
7.091935999999999467e+02,4.005529640000000313e+01
7.096757999999999811e+02,4.005267093999999872e+01
7.101577999999999520e+02,4.005806171999999776e+01
7.106399999999999864e+02,4.008588172000000327e+01
7.111221000000000458e+02,4.006924151999999850e+01
7.116041999999999916e+02,4.009081893999999835e+01
7.120863000000000511e+02,4.008613482999999889e+01
7.125684999999999718e+02,4.010342080000000209e+01
7.130505000000000564e+02,4.014236585999999818e+01
7.135326999999999771e+02,4.015676151000000260e+01
7.140148000000000366e+02,4.021273014999999873e+01
7.144968999999999824e+02,4.025631786999999662e+01
7.149790000000000418e+02,4.031513239000000226e+01
7.154611999999999625e+02,4.036366800999999782e+01
7.159432000000000471e+02,4.042593748000000176e+01
7.164253999999999678e+02,4.051462264999999974e+01
7.169075000000000273e+02,4.058198515000000128e+01
7.173895999999999731e+02,4.067351859000000047e+01
7.178717000000000326e+02,4.079144218999999794e+01
7.183538999999999533e+02,4.088334086999999784e+01
7.188359000000000378e+02,4.100812935999999809e+01
7.193180999999999585e+02,4.113063928999999774e+01
7.198002000000000180e+02,4.126437202000000326e+01
7.202822999999999638e+02,4.140778459999999939e+01
7.207644000000000233e+02,4.155177856000000247e+01
7.212465999999999440e+02,4.169513598000000343e+01
7.217286000000000286e+02,4.188343343999999746e+01
7.222107999999999493e+02,4.205796734999999842e+01
7.226929000000000087e+02,4.221164679999999692e+01
7.231749999999999545e+02,4.236848745999999721e+01
7.236571000000000140e+02,4.254440699999999964e+01
7.241393000000000484e+02,4.272946112999999713e+01
7.246213000000000193e+02,4.286376877000000007e+01
7.251035000000000537e+02,4.302025720999999692e+01
7.255855999999999995e+02,4.316575284000000323e+01
7.260676999999999452e+02,4.332572773999999782e+01
7.265498000000000047e+02,4.347166354000000155e+01
7.270320000000000391e+02,4.362836304999999726e+01
7.275140000000000100e+02,4.374492654000000158e+01
7.279962000000000444e+02,4.388524032000000119e+01
7.284782999999999902e+02,4.400621608000000151e+01
7.289604000000000497e+02,4.412199803000000031e+01
7.294424999999999955e+02,4.424715376000000333e+01
7.299247000000000298e+02,4.435335006999999763e+01
7.304067000000000007e+02,4.447979631999999839e+01
7.308889000000000351e+02,4.453369638000000208e+01
7.313709999999999809e+02,4.462906086000000272e+01
7.318531000000000404e+02,4.468546176000000258e+01
7.323351999999999862e+02,4.477382038999999736e+01
7.328174000000000206e+02,4.483419220999999766e+01
7.332993999999999915e+02,4.488317957999999663e+01
7.337816000000000258e+02,4.491359850999999992e+01
7.342636999999999716e+02,4.499075609999999870e+01
7.347458000000000311e+02,4.500694493999999679e+01
7.352278999999999769e+02,4.506343910999999736e+01
7.357101000000000113e+02,4.510380887000000172e+01
7.361920999999999822e+02,4.513798183000000108e+01
7.366743000000000166e+02,4.516365511000000055e+01
7.371563999999999623e+02,4.520797981999999848e+01
7.376385000000000218e+02,4.523740262999999828e+01
7.381205999999999676e+02,4.526729354999999799e+01
7.386028000000000020e+02,4.531433598999999646e+01
7.390847999999999729e+02,4.535314402000000200e+01
7.395670000000000073e+02,4.539389092999999775e+01
7.400490999999999531e+02,4.543935958000000142e+01
7.405312000000000126e+02,4.552868382999999852e+01
7.410132999999999583e+02,4.560011079000000223e+01
7.414954999999999927e+02,4.567936764000000238e+01
7.419774999999999636e+02,4.578454983999999683e+01
7.424596999999999980e+02,4.589772949000000324e+01
7.429417999999999438e+02,4.603169652999999784e+01
7.434239999999999782e+02,4.616651822000000038e+01
7.439059999999999491e+02,4.633512008999999665e+01
7.443881999999999834e+02,4.648236699000000272e+01
7.448701999999999543e+02,4.664070643000000160e+01
7.453523999999999887e+02,4.681384563000000298e+01
7.458345000000000482e+02,4.698652859999999976e+01
7.463166999999999689e+02,4.717056546999999966e+01
7.467987000000000535e+02,4.736130365999999725e+01
7.472808999999999742e+02,4.755113836000000305e+01
7.477628999999999451e+02,4.770553865000000116e+01
7.482450999999999794e+02,4.789704419000000257e+01
7.487272000000000389e+02,4.808905442999999735e+01
7.492093999999999596e+02,4.821881010999999972e+01
7.496914000000000442e+02,4.839552001999999931e+01
7.501735999999999649e+02,4.856115387999999911e+01
7.506556000000000495e+02,4.869040851999999830e+01
7.511377999999999702e+02,4.884655731000000145e+01
7.516199000000000296e+02,4.897464761999999894e+01
7.521020999999999503e+02,4.910651190000000099e+01
7.525841000000000349e+02,4.920368691000000183e+01
7.530662999999999556e+02,4.932192653999999976e+01
7.535483000000000402e+02,4.945519694000000044e+01
7.540304999999999609e+02,4.955265484000000242e+01
7.545126000000000204e+02,4.965590268999999779e+01
7.549948000000000548e+02,4.978057539000000276e+01
7.554768000000000256e+02,4.987079846999999688e+01
7.559589999999999463e+02,5.000217631000000296e+01
7.564410000000000309e+02,5.010879678999999953e+01
7.569231999999999516e+02,5.022932823000000013e+01
7.574053000000000111e+02,5.039122248999999698e+01
7.578875000000000455e+02,5.054210580000000164e+01
7.583695000000000164e+02,5.068802355999999776e+01
7.588517000000000507e+02,5.088979324999999676e+01
7.593337000000000216e+02,5.108702659000000068e+01
7.598159000000000560e+02,5.126818912000000239e+01
7.602980000000000018e+02,5.148767775999999685e+01
7.607802000000000362e+02,5.170225029000000205e+01
7.612622000000000071e+02,5.192538090000000039e+01
7.617444000000000415e+02,5.215173183000000279e+01
7.622264000000000124e+02,5.237381902999999994e+01
7.627086000000000467e+02,5.258045083999999747e+01
7.631906999999999925e+02,5.279221589000000137e+01
7.636729000000000269e+02,5.298027932000000106e+01
7.641548999999999978e+02,5.317125934999999970e+01
7.646371000000000322e+02,5.335499177999999887e+01
7.651191000000000031e+02,5.351685896000000042e+01
7.656013000000000375e+02,5.366923812999999654e+01
7.660833999999999833e+02,5.384114419000000140e+01
7.665656000000000176e+02,5.401206926999999780e+01
7.670475999999999885e+02,5.415465217999999936e+01
7.675298000000000229e+02,5.432720227000000079e+01
7.680117999999999938e+02,5.451995845999999801e+01
7.684940000000000282e+02,5.472617181999999758e+01
7.689760999999999740e+02,5.492967828999999824e+01
7.694583000000000084e+02,5.513571844999999882e+01
7.699402999999999793e+02,5.540821159000000051e+01
7.704225000000000136e+02,5.563058398999999810e+01
7.709044999999999845e+02,5.588996482999999671e+01
7.713867000000000189e+02,5.617615677999999946e+01
7.718687999999999647e+02,5.643778455999999721e+01
7.723509999999999991e+02,5.670248906999999861e+01
7.728329999999999700e+02,5.698080376000000058e+01
7.733152000000000044e+02,5.724445121000000114e+01
7.737971999999999753e+02,5.751752568999999937e+01
7.742794000000000096e+02,5.780531776000000121e+01
7.747614999999999554e+02,5.805445679000000325e+01
7.752436999999999898e+02,5.834520510000000115e+01
7.757256999999999607e+02,5.864899857000000338e+01
7.762078999999999951e+02,5.893918568000000135e+01
7.766898999999999660e+02,5.925007259000000204e+01
7.771721000000000004e+02,5.955415275000000008e+01
7.776541999999999462e+02,5.987980989999999792e+01
7.781363999999999805e+02,6.018814700000000073e+01
7.786183999999999514e+02,6.051516776999999792e+01
7.791005999999999858e+02,6.083941048999999879e+01
7.795825999999999567e+02,6.119813162999999889e+01
7.800647999999999911e+02,6.153575613000000288e+01
7.805469000000000506e+02,6.188220487000000247e+01
7.810290999999999713e+02,6.225256187000000097e+01
7.815111000000000558e+02,6.260301408000000123e+01
7.819932999999999765e+02,6.297920977999999792e+01
7.824752999999999474e+02,6.337874847999999872e+01
7.829574999999999818e+02,6.377477700000000027e+01
7.834396000000000413e+02,6.417708090000000709e+01
7.839217999999999620e+02,6.458962624000000119e+01
7.844038000000000466e+02,6.504645374000000402e+01
7.848859999999999673e+02,6.548363870000000020e+01
7.853680000000000518e+02,6.594319396999999583e+01
7.858501999999999725e+02,6.641313126999999383e+01
7.863323000000000320e+02,6.689606960999999785e+01
7.868144999999999527e+02,6.741782431999999403e+01
7.872965000000000373e+02,6.794552167999999881e+01
7.877786999999999580e+02,6.846720451999999568e+01
7.882607000000000426e+02,6.904291698000000110e+01
7.887428999999999633e+02,6.965089946000000509e+01
7.892250000000000227e+02,7.026588479999999493e+01
7.897071999999999434e+02,7.091333115999999848e+01
7.901892000000000280e+02,7.158848736000000201e+01
7.906713999999999487e+02,7.230174230000000080e+01
7.911534000000000333e+02,7.305487784999999690e+01
7.916355999999999540e+02,7.383961879000000295e+01
7.921177000000000135e+02,7.468286213999999745e+01
7.925999000000000478e+02,7.559001831999999865e+01
7.930819000000000187e+02,7.652792479000000014e+01
7.935641000000000531e+02,7.757222111999999470e+01
7.940461000000000240e+02,7.865437303999999585e+01
7.945282999999999447e+02,7.981055901999999946e+01
7.950104000000000042e+02,8.102954105999999967e+01
7.954926000000000386e+02,8.227404233999999406e+01
7.959746000000000095e+02,8.354030788000000030e+01
7.964568000000000438e+02,8.481694002999999782e+01
7.969388000000000147e+02,8.606954548000000216e+01
7.974210000000000491e+02,8.729762934999999402e+01
7.979030999999999949e+02,8.843874624999999412e+01
7.983853000000000293e+02,8.947435337999999660e+01
7.988673000000000002e+02,9.040100986999999577e+01
7.993495000000000346e+02,9.122311765000000605e+01
7.998315000000000055e+02,9.192215860999999677e+01
8.003137000000000398e+02,9.248662516000000267e+01
8.007957999999999856e+02,9.298451830999999856e+01
8.012780000000000200e+02,9.335603179000000296e+01
8.017599999999999909e+02,9.367934132000000602e+01
8.022422000000000253e+02,9.390393849999999532e+01
8.027241999999999962e+02,9.407022856000000388e+01
8.032064000000000306e+02,9.424031476000000396e+01
8.036884999999999764e+02,9.434717372000000069e+01
8.041707000000000107e+02,9.443420505000000276e+01
8.046526999999999816e+02,9.451848257999999703e+01
8.051349000000000160e+02,9.458036454000000504e+01
8.056168999999999869e+02,9.464217840999999964e+01
8.060991000000000213e+02,9.470398907999999949e+01
8.065811999999999671e+02,9.473140234999999620e+01
8.070634000000000015e+02,9.479387395000000538e+01
8.075453999999999724e+02,9.482393399999999417e+01
8.080276000000000067e+02,9.485538914999999349e+01
8.085095999999999776e+02,9.488633505999999329e+01
8.089918000000000120e+02,9.491628206000000034e+01
8.094738999999999578e+02,9.494555617000000325e+01
8.099560999999999922e+02,9.498296410000000378e+01
8.104380999999999631e+02,9.502190281000000027e+01
8.109202999999999975e+02,9.502610841999999991e+01
8.114022999999999683e+02,9.504037571000000639e+01
8.118845000000000027e+02,9.507063121000000194e+01
8.123665999999999485e+02,9.509486302999999907e+01
8.128487999999999829e+02,9.510328857999999741e+01
8.133307999999999538e+02,9.511722457999999847e+01
8.138129999999999882e+02,9.513764749000000620e+01
8.142949999999999591e+02,9.517034200000000510e+01
8.147771999999999935e+02,9.515827749000000324e+01
8.152593000000000529e+02,9.516697184999999592e+01
8.157414999999999736e+02,9.519640325999999675e+01
8.162234999999999445e+02,9.520724679999999296e+01
8.167056999999999789e+02,9.522705383000000268e+01
8.171876999999999498e+02,9.524407943999999304e+01
8.176698999999999842e+02,9.524714269000000400e+01
8.181520000000000437e+02,9.526627840000000447e+01
8.186341999999999643e+02,9.530526955999999927e+01
8.191162000000000489e+02,9.532606106000000068e+01
8.195983999999999696e+02,9.532436902000000600e+01
8.200804000000000542e+02,9.533095552000000339e+01
8.205625999999999749e+02,9.534893823000000168e+01
8.210447000000000344e+02,9.535341237000000092e+01
8.215268999999999551e+02,9.536694239000000550e+01
8.220089000000000397e+02,9.537111645000000237e+01
8.224910999999999603e+02,9.536459775999999522e+01
8.229731000000000449e+02,9.534008006000000535e+01
8.234552999999999656e+02,9.536263965000000553e+01
8.239374000000000251e+02,9.535510385999999983e+01
8.244195999999999458e+02,9.536723709999999699e+01
8.249016000000000304e+02,9.533133870000000343e+01
8.253837999999999511e+02,9.532999834999999678e+01
8.258658000000000357e+02,9.533808238000000301e+01
8.263479999999999563e+02,9.532948389999999961e+01
8.268301000000000158e+02,9.531711246999999787e+01
8.273123000000000502e+02,9.533960059999999714e+01
8.277943000000000211e+02,9.534665553000000671e+01
8.282765000000000555e+02,9.532346667000000195e+01
8.287585000000000264e+02,9.534717313000000161e+01
8.292406999999999471e+02,9.535542553999999882e+01
8.297228000000000065e+02,9.537530062999999814e+01
8.302050000000000409e+02,9.537769898000000524e+01
8.306870000000000118e+02,9.537280221000000324e+01
8.311692000000000462e+02,9.536847650999999360e+01
8.316512000000000171e+02,9.537561381999999810e+01
8.321334000000000515e+02,9.535438668000000462e+01
8.326154999999999973e+02,9.538499491999999691e+01
8.330977000000000317e+02,9.535726891000000194e+01
8.335797000000000025e+02,9.535153504000000169e+01
8.340619000000000369e+02,9.535704085999999791e+01
8.345439000000000078e+02,9.534070327000000589e+01
8.350261000000000422e+02,9.532777115999999751e+01
8.355081999999999880e+02,9.532593034999999304e+01
8.359904000000000224e+02,9.530434431999999845e+01
8.364723999999999933e+02,9.531707197000000065e+01
8.369546000000000276e+02,9.529723110000000474e+01
8.374365999999999985e+02,9.529307201999999677e+01
8.379188000000000329e+02,9.528753306000000123e+01
8.384008999999999787e+02,9.529580332999999825e+01
8.388831000000000131e+02,9.527922827999999811e+01
8.393650999999999840e+02,9.525199447999999336e+01
8.398473000000000184e+02,9.525389889999999582e+01
8.403292999999999893e+02,9.526303862000000322e+01
8.408115000000000236e+02,9.522999468999999806e+01
8.412935999999999694e+02,9.523201817999999719e+01
8.417758000000000038e+02,9.521626983000000166e+01
8.422577999999999747e+02,9.520924909999999386e+01
8.427400000000000091e+02,9.522560574000000599e+01
8.432219999999999800e+02,9.520593125999999984e+01
8.437042000000000144e+02,9.520298694000000239e+01
8.441862999999999602e+02,9.520036709999999402e+01
8.446684999999999945e+02,9.520288250000000119e+01
8.451504999999999654e+02,9.521296331000000635e+01
8.456326999999999998e+02,9.520833190999999829e+01
8.461146999999999707e+02,9.523688217000000122e+01
8.465969000000000051e+02,9.523880115000000046e+01
8.470789999999999509e+02,9.523079294000000061e+01
8.475611999999999853e+02,9.522700786999999423e+01
8.480431999999999562e+02,9.523928986999999324e+01
8.485253999999999905e+02,9.523253574000000299e+01
8.490073999999999614e+02,9.522826342999999838e+01
8.494895999999999958e+02,9.519738499999999704e+01
8.499717000000000553e+02,9.522061646999999596e+01
8.504538999999999760e+02,9.520099349000000188e+01
8.509358999999999469e+02,9.521846868000000086e+01
8.514180999999999813e+02,9.520761034999999595e+01
8.519000999999999522e+02,9.521141538000000537e+01
8.523822999999999865e+02,9.521821531000000505e+01
8.528644000000000460e+02,9.522042559999999867e+01
8.533465999999999667e+02,9.521588903999999332e+01
8.538286000000000513e+02,9.519116438999999730e+01
8.543107999999999720e+02,9.521822769000000619e+01
8.547928000000000566e+02,9.520455871000000059e+01
8.552749999999999773e+02,9.520617520000000411e+01
8.557571000000000367e+02,9.520977956000000120e+01
8.562392999999999574e+02,9.521341191999999864e+01
8.567213000000000420e+02,9.519044743000000608e+01
8.572034999999999627e+02,9.518596614000000500e+01
8.576855000000000473e+02,9.519821810999999911e+01
8.581676999999999680e+02,9.517178397000000700e+01
8.586498000000000275e+02,9.521481712000000641e+01
8.591319999999999482e+02,9.519617590000000007e+01
8.596140000000000327e+02,9.520707916000000637e+01
8.600961999999999534e+02,9.519196320999999728e+01
8.605782000000000380e+02,9.519961447000000021e+01
8.610603999999999587e+02,9.519306693000000053e+01
8.615425000000000182e+02,9.519909724999999412e+01
8.620247000000000526e+02,9.519678152999999554e+01
8.625067000000000235e+02,9.519267689999999504e+01
8.629888999999999442e+02,9.519798092000000622e+01
8.634709000000000287e+02,9.516987953000000289e+01
8.639530999999999494e+02,9.518753635999999574e+01
8.644352000000000089e+02,9.517255246999999940e+01
8.649174000000000433e+02,9.518392896000000292e+01
8.653994000000000142e+02,9.515525232000000244e+01
8.658816000000000486e+02,9.516464360000000511e+01
8.663636000000000195e+02,9.517453686999999718e+01
8.668458000000000538e+02,9.515367154000000482e+01
8.673278999999999996e+02,9.515318317000000548e+01
8.678101000000000340e+02,9.515977542999999628e+01
8.682921000000000049e+02,9.516189219000000321e+01
8.687743000000000393e+02,9.512036091000000226e+01
8.692563000000000102e+02,9.514094283999999391e+01
8.697385000000000446e+02,9.510538219000000026e+01
8.702205999999999904e+02,9.509010523999999975e+01
8.707028000000000247e+02,9.509172121000000288e+01
8.711847999999999956e+02,9.506595430999999508e+01
8.716670000000000300e+02,9.504116442999999492e+01
8.721490000000000009e+02,9.503979155000000389e+01
8.726312000000000353e+02,9.502495570000000669e+01
8.731132999999999811e+02,9.501312645999999518e+01
8.735955000000000155e+02,9.501622097000000622e+01
8.740774999999999864e+02,9.499652319999999861e+01
8.745597000000000207e+02,9.498974404999999877e+01
8.750416999999999916e+02,9.497202468999999780e+01
8.755239000000000260e+02,9.498406384000000457e+01
8.760059999999999718e+02,9.495220109000000264e+01
8.764882000000000062e+02,9.493799312000000157e+01
8.769701999999999771e+02,9.493418938000000651e+01
8.774524000000000115e+02,9.491053041000000690e+01
8.779343999999999824e+02,9.491500508999999397e+01
8.784166000000000167e+02,9.491975180000000023e+01
8.788986999999999625e+02,9.490841686000000266e+01
8.793808999999999969e+02,9.490601589000000615e+01
8.798628999999999678e+02,9.490567412999999419e+01
8.803451000000000022e+02,9.490309177000000318e+01
